Folder,File,Text,Cluster
question1,answer1.txt,mauryan empire historical narrative undoubtedly captivate let take brief detour realm ancient indian art architecture ancient india boast rich artistic heritage diverse form expression range intricate temple carving majestic cave one notable example ajanta cave locate maharashtra showcase exquisite buddhist art date back 2nd century bce cave adorn vibrant mural sculpture provide glimpse spiritual artistic fervor ancient indian society furthermore architectural marvel ancient india iconic taj mahal tower qutub minar stand testament ingenuity craftsmanship bygone era architectural wonder reflect aesthetic sensibility creator also serve endure symbol cultural heritage national pride explore world ancient indian art architecture offer fascinate journey time unveil creativity spirituality cultural diversity ancient indian civilization embark virtual tour magnificent monument immerse beauty grandeur ancient india,-1
question1,answer10.txt,mauryan empire oh yeah guy ancient king india like way even born super rich giant army elephant stuff first big emperor chandragupta alone though advisor chanakya like genius together beat bunch kingdom take lot land even stop empire lead alexander one movie mess india bindusara chandragupta son kept expand empire dad go south conquer even land also make friend empire send cool gift like gold stuff way would fight everyone could happy ashoka bindusara son famous mauryan emperor strong military leader even conquer place call kalinga war super scary lot people get hurt make ashoka feel sad decide stop fight focus nice instead keep giant empire check mauryans governor different area governor like assistant emperor make sure people paid tax cause trouble mauryan empire around anymore still kind famous ashoka peace thing pretty cool left behind message carve rock like super old sure important part indian history even phone anything,-1
question1,answer11.txt,mauryan empire cornerstone ancient indian history unfolds narrative remarkable figure strategic warfare nuanced political maneuvering analysis delf saga mauryan dynasty explore life key emperor dissect pivotal battle unravel intricate web political strategy underpinned reign helm mauryan empire stood chandragupta maurya visionary leader whose ascent power around 322 bce marked dawn new era indian history guide sagacious chanakya chandragupta orchestrate downfall reign nanda dynasty lay foundation mauryan empire ascendancy military acumen strategic alliance enable expand empire territory encompass vast swathe northwestern india solidify control region formerly sway alexander great successor chandragupta conquest set stage far expansion grandson ashoka whose reign herald military triumph ideological transformation battle kalinga fought around 261 bce stand pivotal moment mauryan history despite emerge victorious carnage devastation battle deeply affected ashoka prompt profound introspection culminate embrace buddhism adoption policy center dhamma moral righteousness ashoka conversion buddhism marked paradigm shift empire ideological orientation promote principle religious tolerance ethical governance mauryan empire political strategy intricate military campaign chandragupta administrative reform laid groundwork effective governance establish centralize bureaucracy oversee empire vast territory appointment official know amatyas facilitate administration province collection tax ensure empire stability prosperity ashoka reign witness consolidation expansion administrative structure renew emphasis ethical governance social welfare rock pillar edict inscribed multiple language serve vehicle disseminate message peace compassion subject across empire ashoka commitment dhamma transcend religious cultural boundary foster sense unity cohesion within diverse fabric mauryan society conclusion mauryan empire stand testament endure legacy visionary leadership strategic warfare innovative governance exploit emperor like chandragupta ashoka empire left indelible mark ancient indian history shape trajectory influence subsequent generation saga mauryan dynasty serf poignant reminder transformative power leadership diplomacy moral governance annals human civilization,0
question1,answer12.txt,wow mauryan empire like coolest empire ever ruling india age back everything different phone car elephant stuff emperor dude like chandragupta ashoka super strong fought time chandragupta first one whoop everyone behind help advisor chanakya even beat empire lead alexander guy whoever bindusara come next chandragupta son much fighter still take land especially south also sent nice message empire like hey attack us crush ashoka famous though first total warrior conquer place call kalinga something weird happen decide fight bad become like hippie king preach peace instead ruling giant empire must hard mauryans governor different area kind like kept eye thing make sure everyone paid tax stuff mauryan empire around anymore left mark ashoka peace thing pretty cool left behind message carve rock definitely ruler back day,-1
question1,answer13.txt,mauryan empire like big bos india hundred year way back day emperor super strong even change way well chandragupta maurya first big cheese alone though advisor name chanakya real brainiac together beat bunch kingdom take lot land even stop another empire lead dude name alexander mess india bindusara chandragupta son kept expand empire dad push south take even land also make friend empire send nice message way everyone get along trade flourish ashoka bindusara son famous mauryan emperor probably change heart fighter first conquer place call kalinga war bad make feel awful ashoka decide stop fight become peaceful instead keep giant empire check mauryans system governor different area governor like helper emperor make sure people paid tax break rule mauryan empire may go mark india still ashoka idea peace pretty cool message carve rock like reminder past sure important part indian history,-1
question1,answer14.txt,mauryan empire rule india long long time ago way even grandparent born like powerful king india cool stuff like elephant army let see get big top first chandragupta king first mauryan emperor super smart advisor name chanakya help win lot battle together beat another big empire lead alexander guy different movie one victory give control big chunk northern india next come bindusara chandragupta son kept expand empire especially towards south also sent friendly message empire like one way west asia way would fight everyone could friend ashoka bindusara son probably famous mauryan emperor strong military leader even conquer place call kalinga war super bad lot people get hurt make ashoka feel terrible decide stop fight focus peace instead pretty cool right manage giant empire mauryans neat trick appoint governor different area kind like guy make sure people paid tax follow rule cause trouble even though mauryan empire around anymore influence still ashoka idea peace pretty awesome message carve rock still around today definitely big deal indian history,-1
question1,answer15.txt,let take break serious historical discourse delve world ancient fashion mauryan empire military conquest political strategy may dominate history book fascinate explore clothing trend time picture flow garment make fine fabric like cotton silk adorn elite mauryan society rich hue red blue green dyed natural pigment add touch vibrancy attire men typically wore draped garment know dhoti uttariyas woman flaunt intricately embroider saree showcasing exquisite craftsmanship accessory also crucial part mauryan fashion gold silver jewelry adorn precious gem like pearl emerald embellish attire men woman elaborate necklace earring bracelet fashion statement symbol wealth status let forget hairstyle woman often adorn hair flower bead elaborate hairpin men sport various style shave head intricate braid depend social stand occupation ponder grandeur ancient empire let also appreciate sartorial splendor mauryan elite whose fashion choice add touch glamour annals history,-1
question1,answer16.txt,mauryan empire span roughly 322 185 bce stand pivotal chapter story india rise power vast territory innovative administration left indelible mark subcontinent era fuel combination shrewd leadership strategic military campaign shift govern philosophy chandragupta maurya empire founder emerge powerful figure guidance chanakya brilliant strategist advisor together topple nanda dynasty establish centralize administration magadha region centralize structure provide foundation future expansion efficient governance chandragupta military focus secure strategically important northwest frontier incorporate region like gandhara taxila bolster empire defense also open door cultural exchange hellenistic world follow chandragupta reign bindusara far consolidated mauryan dominance expand southward deccan plateau enrich empire resource base strategic depth additionally bindusara actively pursue diplomacy neighbor kingdom notably seleucid empire western asia diplomatic approach foster regional stability facilitate trade opportunity ashoka great bindusara son ascend throne ushered new era mauryans initially ashoka mirror predecessor military prowess conquer kalinga region brutal war however immense bloodshed witness campaign profound impact ashoka turn point lead conversion buddhism radical shift towards dhamma philosophy emphasize righteousness moral governance ashoka edict inscribed pillar rock scatter across empire become testament newfound commitment social welfare ethical conduct mauryan empire administrative structure deserves mention efficiency manage vast territory emperor rely network provincial governor official ensure effective tax collection infrastructure development law enforcement across empire centralize system provide level stability cohesion facilitate mauryan golden age mauryan legacy extends far beyond territorial boundary empire patronage buddhism significantly influence religious landscape india ashoka ideal peace compassion continue resonate even today administrative innovation centralize governance establish mauryans laid groundwork future empire india conclusion mauryan empire stand testament power visionary leadership strategic expansion commitment ethical governance leave endure mark course indian history,0
question1,answer17.txt,mauryan empire significant chapter indian history characterize key figure battle political strategy shape trajectory chandragupta maurya aid chanakya rise power overthrow nanda dynasty establish empire foundation conquest pave way bindusara reign saw far territorial expansion deccan plateau ashoka great bindusara son often remember conquest kalinga lead conversion buddhism promotion moral governance despite significance event exact detail battle political strategy remain subject historical debate conflict account offering different perspective mauryan empire military campaign solely conquest also serve diplomatic purpose chandragupta expansion northwest facilitate cultural exchange hellenistic kingdom bindusara diplomatic tie seleucid empire foster economic prosperity increase trade empire political structure revolve around centralize administrative system emperor wield considerable authority provincial governor bureaucrat centralize governance ensure stability cohesion across empire diverse territory facilitate efficient tax collection infrastructure development territorially mauryan empire extend heartland magadha northwest frontier encompass region like pakistan afghanistan reach southward deccan plateau eastern india annexation kalinga far expand empire reach solidify mauryan hegemony indian subcontinent legacy mauryan empire endures administrative innovation cultural achievement philosophical contribution ashoka patronage buddhism left last impact empire spiritual landscape promote compassion tolerance edict conclusion specific mauryan history may subject debate empire legacy life administrative reform cultural advancement philosophical ideal shape course indian history generation come,0
question1,answer18.txt,mauryans conquer king ashoka change heart mauryan empire rule india long time 322 185 bce super powerful interest leader first big emperor chandragupta maurya help clever advisor name chanakya chandragupta take bunch land northern india even defeat big army another empire lead guy name alexander movie one win secure northwest part india mauryans chandragupta son bindusara become emperor bindusara kept expand empire especially southward also sent friendly message empire like one western asia help keep thing peaceful ashoka bindusara son probably famous mauryan emperor strong military leader conquer place call kalinga war really bloody make ashoka feel bad decide give war focus peace instead mauryans smart way run giant empire governor different area answer emperor governor make sure people paid tax follow law cause trouble mauryan empire may go influence still felt today ashoka idea peace pretty cool edict like message carve rock still around mauryans definitely important part indian history,-1
