Document,Cluster
answer1.txt,-1
answer10.txt,-1
answer11.txt,0
answer12.txt,-1
answer13.txt,-1
answer14.txt,-1
answer15.txt,-1
answer16.txt,0
answer17.txt,0
answer18.txt,-1
answer19.txt,-1
answer2.txt,0
answer20.txt,-1
answer21.txt,0
answer22.txt,0
answer23.txt,0
answer24.txt,0
answer25.txt,0
answer26.txt,0
answer27.txt,-1
answer28.txt,-1
answer29.txt,0
answer3.txt,-1
answer30.txt,0
answer31.txt,0
answer32.txt,0
answer33.txt,0
answer34.txt,0
answer35.txt,0
answer36.txt,0
answer37.txt,0
answer38.txt,0
answer39.txt,0
answer4.txt,0
answer40.txt,0
answer41.txt,0
answer42.txt,0
answer43.txt,0
answer44.txt,0
answer45.txt,0
answer5.txt,-1
answer6.txt,-1
answer7.txt,0
answer8.txt,0
answer9.txt,-1
ref.txt,0
answer1.txt,1
answer10.txt,1
answer11.txt,-1
answer12.txt,1
answer13.txt,1
answer14.txt,1
answer15.txt,1
answer16.txt,1
answer17.txt,1
answer18.txt,1
answer19.txt,1
answer2.txt,1
answer20.txt,-1
answer21.txt,-1
answer22.txt,1
answer23.txt,1
answer24.txt,1
answer25.txt,1
answer26.txt,1
answer27.txt,1
answer28.txt,-1
answer29.txt,-1
answer3.txt,1
answer30.txt,1
answer31.txt,-1
answer32.txt,1
answer33.txt,-1
answer34.txt,-1
answer35.txt,-1
answer36.txt,1
answer37.txt,1
answer38.txt,-1
answer39.txt,-1
answer4.txt,0
answer40.txt,-1
answer41.txt,-1
answer42.txt,1
answer43.txt,-1
answer44.txt,-1
answer45.txt,-1
answer5.txt,0
answer6.txt,0
answer7.txt,-1
answer8.txt,1
answer9.txt,1
ref.txt,1
answer1.txt,2
answer10.txt,2
answer11.txt,2
answer12.txt,2
answer13.txt,-1
answer14.txt,2
answer15.txt,2
answer16.txt,2
answer17.txt,2
answer18.txt,2
answer19.txt,2
answer2.txt,2
answer20.txt,2
answer21.txt,-1
answer22.txt,2
answer23.txt,2
answer24.txt,-1
answer25.txt,-1
answer26.txt,-1
answer27.txt,2
answer28.txt,2
answer29.txt,2
answer3.txt,2
answer30.txt,2
answer31.txt,2
answer32.txt,2
answer33.txt,2
answer34.txt,2
answer35.txt,2
answer36.txt,-1
answer37.txt,-1
answer38.txt,2
answer39.txt,2
answer4.txt,2
answer40.txt,2
answer41.txt,2
answer42.txt,-1
answer43.txt,2
answer44.txt,2
answer45.txt,2
answer5.txt,2
answer6.txt,2
answer7.txt,2
answer8.txt,2
answer9.txt,2
ref.txt,2
answer1.txt,-1
answer10.txt,3
answer11.txt,-1
answer12.txt,3
answer13.txt,-1
answer14.txt,3
answer15.txt,-1
answer16.txt,3
answer17.txt,3
answer18.txt,3
answer19.txt,-1
answer2.txt,3
answer20.txt,3
answer21.txt,3
answer22.txt,-1
answer23.txt,-1
answer24.txt,-1
answer25.txt,3
answer26.txt,3
answer27.txt,3
answer28.txt,3
answer29.txt,-1
answer3.txt,3
answer30.txt,-1
answer31.txt,-1
answer32.txt,-1
answer33.txt,-1
answer34.txt,-1
answer35.txt,-1
answer36.txt,3
answer37.txt,-1
answer38.txt,3
answer39.txt,-1
answer4.txt,3
answer40.txt,-1
answer41.txt,-1
answer42.txt,3
answer43.txt,-1
answer44.txt,-1
answer45.txt,-1
answer5.txt,3
answer6.txt,-1
answer7.txt,-1
answer8.txt,-1
answer9.txt,3
ref.txt,-1
answer1.txt,4
answer10.txt,4
answer11.txt,-1
answer12.txt,4
answer13.txt,4
answer14.txt,-1
answer15.txt,4
answer16.txt,4
answer17.txt,4
answer18.txt,4
answer19.txt,-1
answer2.txt,4
answer20.txt,4
answer21.txt,4
answer22.txt,4
answer23.txt,4
answer24.txt,4
answer25.txt,4
answer26.txt,-1
answer27.txt,-1
answer28.txt,4
answer29.txt,-1
answer3.txt,4
answer30.txt,-1
answer31.txt,4
answer32.txt,4
answer33.txt,4
answer34.txt,4
answer35.txt,4
answer36.txt,-1
answer37.txt,4
answer38.txt,4
answer39.txt,-1
answer4.txt,4
answer40.txt,4
answer41.txt,4
answer42.txt,-1
answer43.txt,4
answer44.txt,4
answer45.txt,4
answer5.txt,4
answer6.txt,-1
answer7.txt,4
answer8.txt,4
answer9.txt,-1
ref.txt,4
